date	Channel 1
10-12-2014 140100	15.5
10-12-2014 140200	15.6
10-12-2014 140300	15.7
10-12-2014 140400	15.7
10-12-2014 140500	15.7
10-12-2014 140600	15.7
10-12-2014 140700	15.6
10-12-2014 140800	15.6
10-12-2014 140900	15.5
10-12-2014 141000	15.7
10-12-2014 141101	15.7
10-12-2014 141201	15.7
10-12-2014 141301	14.3
10-12-2014 141401	15.7
10-12-2014 141501	15.8
10-12-2014 141601	15.8
10-12-2014 141701	15.7
10-12-2014 141801	15.6
10-12-2014 141901	15.6
10-12-2014 142001	15.7
10-12-2014 142101	15.7
10-12-2014 142201	16.0
10-12-2014 142301	15.7
10-12-2014 142401	15.4
10-12-2014 142501	15.7
10-12-2014 142601	15.7
10-12-2014 142702	15.6
10-12-2014 142802	14.3
10-12-2014 142902	15.6
10-12-2014 143002	15.6
10-12-2014 143102	15.7
10-12-2014 143202	15.8
10-12-2014 143302	15.7
10-12-2014 143402	15.7
10-12-2014 143502	15.7
10-12-2014 143602	15.9
10-12-2014 143702	15.7
10-12-2014 143802	15.7
10-12-2014 143902	15.9
10-12-2014 144002	15.4
10-12-2014 144102	15.7
10-12-2014 144202	15.7
10-12-2014 144302	15.8
10-12-2014 144403	15.9
10-12-2014 144503	15.7
10-12-2014 144603	15.7
10-12-2014 144703	15.7
10-12-2014 144803	15.7
10-12-2014 144903	15.5
10-12-2014 145003	15.8
10-12-2014 145103	16.0
10-12-2014 145203	15.7
10-12-2014 145303	15.8
10-12-2014 145403	15.7
10-12-2014 145503	15.9
10-12-2014 145603	15.7
10-12-2014 145703	14.5
10-12-2014 145803	15.6
10-12-2014 145903	15.7
10-12-2014 150004	15.7
10-12-2014 150104	15.9
10-12-2014 150204	15.7
10-12-2014 150241	15.3
10-12-2014 150405	16.0
10-12-2014 150505	15.7
10-12-2014 150605	15.9
10-12-2014 150705	15.8
10-12-2014 150805	15.8
10-12-2014 150905	15.9
10-12-2014 150947	14.8
10-12-2014 210856	15.0
10-12-2014 210956	15.5
10-12-2014 211056	15.6
10-12-2014 211156	15.7
10-12-2014 211256	15.7
10-12-2014 211356	15.8
10-12-2014 211456	16.1
10-12-2014 211556	16.2
10-12-2014 211656	16.2
10-12-2014 211756	16.1
10-12-2014 211857	16.4
10-12-2014 211957	16.3
10-12-2014 212057	16.4
10-12-2014 212157	16.4
10-12-2014 212257	14.6
10-12-2014 212357	16.1
10-12-2014 212457	16.3
10-12-2014 212557	16.5
10-12-2014 212657	16.2
10-12-2014 212757	16.5
10-12-2014 212857	16.3
10-12-2014 212957	16.1
10-12-2014 213057	14.5
10-12-2014 213157	16.5
10-12-2014 213257	16.5
10-12-2014 213357	16.5
10-12-2014 213457	16.3
10-12-2014 213558	14.3
10-12-2014 213658	16.4
10-12-2014 213758	16.4
10-12-2014 213858	16.5
10-12-2014 213958	16.7
10-12-2014 214058	16.5
10-12-2014 214158	16.5
10-12-2014 214258	16.5
10-12-2014 214358	16.5
10-12-2014 214458	16.7
10-12-2014 214558	16.3
10-12-2014 214658	16.6
10-12-2014 214758	16.4
10-12-2014 214858	16.6
10-12-2014 214958	16.5
10-12-2014 211719	19.9
12-12-2014 153001	18.9
12-12-2014 153102	18.5
12-12-2014 153202	18.9
12-12-2014 153302	19.1
12-12-2014 153402	19.2
12-12-2014 153502	19.3
12-12-2014 153602	20.7
12-12-2014 153702	18.6
12-12-2014 153802	19.5
12-12-2014 153902	18.4
12-12-2014 154002	21.5
12-12-2014 154102	18.6
12-12-2014 154202	18.2
12-12-2014 154302	18.2
12-12-2014 154402	18.6
12-12-2014 154502	18.5
12-12-2014 154602	18.2
12-12-2014 154702	17.9
12-12-2014 154802	18.1
12-12-2014 154903	18.9
12-12-2014 155003	19.3
12-12-2014 155103	20.4
12-12-2014 155203	19.2
12-12-2014 155303	19.5
12-12-2014 155403	19.7
12-12-2014 155503	19.8
12-12-2014 155603	20.0
12-12-2014 155703	20.1
12-12-2014 155803	19.6
12-12-2014 155903	20.3
12-12-2014 160003	19.7
12-12-2014 160103	19.4
12-12-2014 160203	19.0
10-12-2014 211717	18.5
15-12-2014 084127	17.8
15-12-2014 084227	16.5
15-12-2014 084327	17.0
15-12-2014 084427	16.5
15-12-2014 084527	16.8
15-12-2014 084627	16.9
15-12-2014 084727	16.9
15-12-2014 084827	17.1
15-12-2014 084927	17.2
15-12-2014 085027	17.2
15-12-2014 085127	17.8
15-12-2014 085227	17.4
15-12-2014 085328	17.0
15-12-2014 085428	17.4
15-12-2014 085528	18.0
15-12-2014 085628	17.3
15-12-2014 085728	17.4
15-12-2014 085828	17.3
15-12-2014 085928	17.7
15-12-2014 090028	17.3
15-12-2014 090128	17.4
15-12-2014 090228	17.4
15-12-2014 090328	17.2
15-12-2014 090428	17.5
15-12-2014 090528	17.6
15-12-2014 090628	17.8
15-12-2014 090728	18.2
15-12-2014 090828	17.5
15-12-2014 090928	17.4
15-12-2014 091029	17.5
15-12-2014 091129	17.6
15-12-2014 091229	17.7
15-12-2014 091329	17.7
15-12-2014 091429	17.6
15-12-2014 091529	18.1
15-12-2014 091629	17.5
15-12-2014 091729	17.4
15-12-2014 091829	17.7
15-12-2014 091929	17.7
15-12-2014 092029	17.6
15-12-2014 092129	17.7
15-12-2014 092229	17.6
15-12-2014 092329	18.5
15-12-2014 092429	17.6
15-12-2014 092529	17.8
15-12-2014 092630	17.8
15-12-2014 092730	17.6
15-12-2014 092830	17.5
15-12-2014 092930	17.6
15-12-2014 093030	17.5
15-12-2014 093130	17.5
15-12-2014 093230	17.8
15-12-2014 093330	17.8
15-12-2014 093430	18.0
15-12-2014 093530	17.5
15-12-2014 093630	17.5
15-12-2014 093730	17.6
15-12-2014 093830	18.1
15-12-2014 093930	17.7
15-12-2014 094030	17.4
15-12-2014 094130	18.4
15-12-2014 094231	17.5
15-12-2014 094331	18.1
15-12-2014 094431	17.8
15-12-2014 094531	17.6
15-12-2014 094631	17.9
15-12-2014 094731	17.7
15-12-2014 094831	17.7
15-12-2014 094931	17.8
15-12-2014 095031	18.0
15-12-2014 095131	17.8
15-12-2014 095231	17.7
15-12-2014 095331	17.9
15-12-2014 095431	17.8
15-12-2014 095531	17.7
15-12-2014 095631	17.8
15-12-2014 095731	17.7
15-12-2014 095832	17.8
15-12-2014 095932	17.9
15-12-2014 100032	17.8
15-12-2014 100132	17.6
15-12-2014 100232	17.9
15-12-2014 100332	17.8
15-12-2014 100432	18.4
15-12-2014 100532	17.8
15-12-2014 100632	18.3
15-12-2014 100732	17.9
15-12-2014 100832	17.8
15-12-2014 100932	17.9
15-12-2014 101032	17.9
15-12-2014 101132	18.0
15-12-2014 101232	18.6
15-12-2014 101332	18.1
15-12-2014 101433	18.1
15-12-2014 101533	18.0
15-12-2014 101633	17.9
15-12-2014 101733	17.7
15-12-2014 101833	18.1
15-12-2014 101933	17.9
15-12-2014 102033	18.6
15-12-2014 102133	17.9
15-12-2014 102233	18.0
15-12-2014 102333	19.2
15-12-2014 102433	19.9
15-12-2014 102533	20.3
15-12-2014 102633	20.7
15-12-2014 102733	20.7
15-12-2014 102833	21.4
15-12-2014 102933	21.2
15-12-2014 103033	21.5
15-12-2014 103134	21.8
15-12-2014 103234	21.9
15-12-2014 103334	22.2
15-12-2014 103434	22.3
15-12-2014 103534	22.6
15-12-2014 103634	22.6
15-12-2014 103734	22.9
15-12-2014 103834	23.0
15-12-2014 103934	23.7
15-12-2014 104034	24.0
15-12-2014 104134	23.4
15-12-2014 104234	23.9
15-12-2014 104334	23.7
15-12-2014 104434	23.9
15-12-2014 104534	24.0
15-12-2014 104634	24.1
15-12-2014 104735	24.2
15-12-2014 104835	24.4
15-12-2014 104935	24.4
15-12-2014 105035	24.7
15-12-2014 105135	24.8
15-12-2014 105235	24.8
15-12-2014 105335	24.8
15-12-2014 105435	24.8
15-12-2014 105535	25.3
15-12-2014 105635	25.2
15-12-2014 105735	25.1
15-12-2014 105835	25.3
15-12-2014 105935	25.6
15-12-2014 110035	25.2
15-12-2014 110135	25.3
15-12-2014 110235	25.5
15-12-2014 110336	25.6
15-12-2014 110436	25.5
15-12-2014 110536	25.7
15-12-2014 110636	25.8
15-12-2014 110736	25.8
15-12-2014 110836	25.9
15-12-2014 110936	25.9
15-12-2014 111036	26.1
15-12-2014 111136	26.3
15-12-2014 111236	26.1
15-12-2014 111336	26.0
15-12-2014 111436	26.1
15-12-2014 111536	26.1
15-12-2014 111636	26.1
15-12-2014 111736	26.1
15-12-2014 111836	26.1
15-12-2014 111937	26.2
15-12-2014 112037	26.5
15-12-2014 112137	27.1
15-12-2014 112237	27.0
15-12-2014 112337	26.6
15-12-2014 112437	26.2
15-12-2014 112537	27.1
15-12-2014 112637	26.3
15-12-2014 112737	26.5
15-12-2014 112837	26.5
15-12-2014 112937	26.4
15-12-2014 113037	26.4
15-12-2014 113137	26.2
15-12-2014 113237	26.4
15-12-2014 113337	23.2
15-12-2014 113437	21.5
15-12-2014 113537	20.7
15-12-2014 113638	20.4
15-12-2014 113738	20.5
15-12-2014 113838	20.5
15-12-2014 113938	20.2
15-12-2014 114038	20.0
15-12-2014 114138	20.6
15-12-2014 114238	20.3
15-12-2014 114338	19.9
15-12-2014 114438	19.9
15-12-2014 114538	19.9
15-12-2014 114638	19.7
15-12-2014 114738	19.4
15-12-2014 114838	19.9
15-12-2014 114938	19.6
15-12-2014 115038	19.8
15-12-2014 115138	19.9
15-12-2014 115238	19.4
15-12-2014 115339	19.6
15-12-2014 115439	21.2
15-12-2014 115539	19.4
15-12-2014 115639	19.5
15-12-2014 115739	19.6
15-12-2014 115839	19.7
