date	Channel 1
08-12-2014 155504	11.1
08-12-2014 155604	11.2
08-12-2014 155704	11.1
08-12-2014 155804	11.1
08-12-2014 155904	11.0
08-12-2014 160004	10.9
08-12-2014 160104	11.1
08-12-2014 160204	11.1
08-12-2014 160304	11.1
08-12-2014 160404	10.8
08-12-2014 160504	11.1
08-12-2014 160604	11.1
08-12-2014 160704	11.1
08-12-2014 160805	11.1
08-12-2014 160905	11.0
08-12-2014 161005	11.1
08-12-2014 161105	11.1
08-12-2014 161205	11.1
08-12-2014 161305	11.0
08-12-2014 161405	11.0
08-12-2014 161505	11.0
08-12-2014 161605	11.1
08-12-2014 161705	11.1
08-12-2014 161805	11.1
08-12-2014 161905	11.1
08-12-2014 162005	11.1
08-12-2014 162105	11.0
08-12-2014 162205	10.8
08-12-2014 162305	11.0
08-12-2014 162406	11.1
08-12-2014 162506	11.1
08-12-2014 162606	11.1
08-12-2014 162706	10.8
08-12-2014 162806	11.0
08-12-2014 162906	10.9
08-12-2014 163006	10.8
08-12-2014 163106	11.0
08-12-2014 163206	11.1
08-12-2014 163306	11.1
08-12-2014 163406	10.8
08-12-2014 163506	11.0
08-12-2014 163606	10.8
08-12-2014 163706	11.0
08-12-2014 163806	11.0
08-12-2014 163906	11.0
08-12-2014 164006	11.1
08-12-2014 164107	10.7
08-12-2014 164207	10.9
08-12-2014 164307	10.8
08-12-2014 164407	10.5
08-12-2014 164507	10.9
08-12-2014 164607	10.7
08-12-2014 164707	11.1
08-12-2014 164807	10.8
08-12-2014 164907	10.7
08-12-2014 165007	10.8
08-12-2014 165107	10.9
08-12-2014 165207	10.8
08-12-2014 165307	11.0
08-12-2014 165407	10.9
08-12-2014 165507	10.7
08-12-2014 165607	10.9
08-12-2014 165708	11.0
08-12-2014 165808	10.7
08-12-2014 165908	10.7
08-12-2014 170008	10.7
08-12-2014 170108	11.1
08-12-2014 170208	10.8
08-12-2014 170308	10.6
08-12-2014 170408	10.7
08-12-2014 170508	10.6
08-12-2014 170608	10.5
08-12-2014 170708	10.9
08-12-2014 170808	10.7
08-12-2014 170908	10.9
08-12-2014 171008	10.8
08-12-2014 171108	10.8
08-12-2014 171208	11.1
08-12-2014 171308	10.7
08-12-2014 171409	10.8
08-12-2014 171509	10.9
08-12-2014 171609	10.8
08-12-2014 171709	11.0
08-12-2014 171809	10.8
08-12-2014 171909	11.1
08-12-2014 172009	10.9
08-12-2014 172109	10.9
08-12-2014 172209	11.1
08-12-2014 172309	10.7
08-12-2014 172409	11.1
08-12-2014 172509	11.1
08-12-2014 172609	11.1
08-12-2014 172709	10.8
08-12-2014 172809	11.1
08-12-2014 172909	11.0
08-12-2014 173010	11.1
08-12-2014 173110	11.1
08-12-2014 173210	11.1
08-12-2014 173310	11.2
08-12-2014 173410	11.1
08-12-2014 173510	11.1
08-12-2014 173610	11.2
08-12-2014 173710	11.4
08-12-2014 173810	11.2
08-12-2014 173910	11.2
08-12-2014 174010	11.3
08-12-2014 174110	11.5
08-12-2014 174210	11.5
08-12-2014 174310	11.4
08-12-2014 174410	11.3
08-12-2014 174510	11.1
08-12-2014 174610	11.3
08-12-2014 174710	11.3
08-12-2014 174810	11.3
08-12-2014 174911	11.3
08-12-2014 175011	11.5
08-12-2014 175111	11.6
08-12-2014 175211	11.3
08-12-2014 175311	11.4
08-12-2014 175411	11.4
08-12-2014 175511	11.1
08-12-2014 175611	11.3
08-12-2014 175711	11.4
08-12-2014 175811	11.5
08-12-2014 175911	11.5
08-12-2014 180011	11.1
08-12-2014 180111	11.2
08-12-2014 180211	11.1
08-12-2014 180311	11.1
08-12-2014 180411	11.2
08-12-2014 180512	11.2
08-12-2014 180612	11.4
08-12-2014 180712	11.4
08-12-2014 180812	11.1
08-12-2014 180912	11.1
08-12-2014 181012	11.3
08-12-2014 181112	11.4
08-12-2014 181212	11.1
08-12-2014 181312	11.1
08-12-2014 181412	11.1
08-12-2014 181512	11.0
08-12-2014 181612	10.8
08-12-2014 181712	11.1
08-12-2014 181812	11.1
08-12-2014 181912	11.1
08-12-2014 182012	10.9
08-12-2014 182113	11.1
08-12-2014 182213	11.1
08-12-2014 182313	10.9
08-12-2014 182413	11.1
08-12-2014 182513	10.8
08-12-2014 182613	10.8
08-12-2014 182713	11.1
08-12-2014 182813	10.8
08-12-2014 182913	10.8
08-12-2014 183013	10.8
08-12-2014 183113	10.9
08-12-2014 183213	10.9
08-12-2014 183313	11.0
08-12-2014 183413	11.0
08-12-2014 183513	10.8
08-12-2014 183613	10.8
08-12-2014 183714	10.7
08-12-2014 183814	10.7
08-12-2014 183914	11.0
08-12-2014 184014	10.8
08-12-2014 184114	11.1
08-12-2014 184214	10.9
08-12-2014 184314	11.1
08-12-2014 184414	11.0
08-12-2014 184514	11.1
08-12-2014 184614	10.5
08-12-2014 184714	10.9
08-12-2014 184814	10.8
08-12-2014 184914	10.9
08-12-2014 185014	10.6
08-12-2014 185114	10.7
08-12-2014 185214	10.6
08-12-2014 185315	10.6
08-12-2014 185415	10.6
08-12-2014 185515	10.7
08-12-2014 185615	10.6
08-12-2014 185715	10.7
08-12-2014 185815	10.9
08-12-2014 185915	10.5
08-12-2014 190015	10.4
08-12-2014 190115	10.5
08-12-2014 190215	10.6
08-12-2014 190315	10.5
08-12-2014 190415	10.6
08-12-2014 190515	10.5
08-12-2014 190615	10.3
08-12-2014 190715	10.4
08-12-2014 190815	10.4
08-12-2014 190916	10.3
08-12-2014 191016	10.5
08-12-2014 191116	10.2
08-12-2014 191216	10.2
08-12-2014 191316	10.6
08-12-2014 191416	10.5
08-12-2014 191516	10.6
08-12-2014 191616	10.5
08-12-2014 191716	10.6
08-12-2014 191816	10.3
08-12-2014 191916	10.1
08-12-2014 192016	10.3
08-12-2014 192116	10.3
08-12-2014 192216	10.4
08-12-2014 192316	10.3
08-12-2014 192416	10.4
08-12-2014 192517	10.3
08-12-2014 192617	10.3
